Ano,Valor_ano_anterior_Total das Atividades,Valor_preço_anterior_Total das Atividades,Valor_corrente_Total das Atividades,Taxa de Crescimento_Total das Atividades,Valor_ano_anterior_Indústrias extrativas,Valor_preço_anterior_Indústrias extrativas,Valor_corrente_Indústrias extrativas,Taxa de Crescimento_Indústrias extrativas,Valor_ano_anterior_Indústrias de Transformação,Valor_preço_anterior_Indústrias de Transformação,Valor_corrente_Indústrias de Transformação,Taxa de Crescimento_Indústrias de Transformação,"Valor_ano_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_preço_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_corrente_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Taxa de Crescimento_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Valor_ano_anterior_Construção,Valor_preço_anterior_Construção,Valor_corrente_Construção,Taxa de Crescimento_Construção
2012,3720461.000000001,3780432.0000000047,4094259.000000001,0.01611923898678258,162567.0000000001,159413.00000000006,186191.0000000002,-0.019401231492246485,515704.00000000146,503437.00000000047,514020.999999999,-0.023786901012986084,99219.00000000051,99895.99999999967,100233.00000000001,0.006823289894064111,233543.99999999983,240980.00000000067,265237.0000000007,0.03183982461549362
2013,4094259.000000001,4211999.999999996,4553759.999999998,0.028757584705802808,186191.0000000002,180257.99999999988,189434.0,-0.03186512774516659,514020.999999999,529509.9999999998,558733.0000000007,0.030133010129937965,100233.00000000001,101837.99999999988,92817.99999999981,0.01601269043129383,265237.0000000007,277161.0000000004,290641.00000000035,0.04495602046471525
2014,4553759.999999998,4574753.0,4972734.000000001,0.004610036541232265,189434.0,206581.0000000005,184796.99999999988,0.090517013841235,558733.0000000007,532544.999999998,597375.9999999983,-0.0468703298355434,92817.99999999981,91014.00000000052,93975.00000000055,-0.019435885280864595,290641.00000000035,284418.9999999997,306946.00000000006,-0.02140785367515463
2015,4972734.000000001,4816089.000000001,5155601.000000002,-0.03150078005378931,184796.99999999988,195323.99999999977,110773.00000000003,0.05696521047419534,597375.9999999983,546692.9999999991,630813.0000000007,-0.084842712127704,93975.00000000055,93605.99999999991,123183.000000001,-0.003926576217085809,306946.00000000006,279306.99999999977,296017.9999999998,-0.09004515452229478
2016,5155601.000000002,5006080.999999999,5419822.000000003,-0.029001468499987193,110773.00000000003,109421.99999999972,55575.00000000015,-0.01219611277116539,630813.0000000007,600741.9999999993,676238.0000000012,-0.04767022873656912,123183.000000001,131154.9999999998,143720.0000000002,0.06471672227497893,296017.9999999998,266462.99999999924,275186.99999999866,-0.09984190150599148
2017,5419822.000000003,5487797.999999998,5671925.999999998,0.012542109316504346,55575.00000000015,58310.99999999975,90695.9999999997,0.04923076923076186,676238.0000000012,691856.0000000012,706062.0000000009,0.023095419068434486,143720.0000000002,145046.99999999866,156242.00000000015,0.009233231283039656,275186.99999999866,249743.99999999916,244800.00000000006,-0.09245712915217519
2018,5671925.999999998,5771531.999999998,6011150.000000004,0.017561230523811533,90695.9999999997,91049.00000000015,161068.99999999997,0.0038921231366373377,706062.0000000009,715896.0000000005,737427.9999999991,0.013927955335366393,156242.00000000015,161966.99999999962,171433.0000000012,0.036641876064051004,244800.00000000006,237475.99999999983,243280.00000000044,-0.029918300653595686
2019,6011150.000000004,6069992.000000005,6356684.000000006,0.009788809129700704,161068.99999999997,146332.0000000001,182816.99999999985,-0.09149494936952418,737427.9999999991,734288.0000000005,763482.0000000005,-0.004258042819093699,171433.0000000012,175852.00000000087,190862.00000000105,0.02577683409845033,243280.00000000044,247938.99999999988,248642.99999999933,0.01915077277211208
2020,6356684.000000006,6154281.999999997,6594937.0,-0.0318408151168138,182816.99999999985,184386.99999999994,193615.00000000023,0.008587822795473654,763482.0000000005,727853.9999999976,813688.999999998,-0.046665147311924726,190862.00000000105,188935.0000000007,209111.99999999953,-0.01009629994446426,248642.99999999933,243456.9999999994,267921.0,-0.020857212951902793
2021,6594937.0,6894277.999999996,7713998.999999994,0.04538951623040477,193615.00000000023,200580.9999999999,424866.99999999977,0.0359786173591905,813688.999999998,844427.0000000009,1072838.9999999965,0.03777610364648276,209111.99999999953,212346.9999999996,220981.99999999962,0.015470178660239808,267921.0,301722.99999999907,275110.9999999999,0.12616405582242174
