Ano,Valor_ano_anterior_Total das Atividades,Valor_preço_anterior_Total das Atividades,Valor_corrente_Total das Atividades,Taxa de Crescimento_Total das Atividades,Valor_ano_anterior_Indústrias extrativas,Valor_preço_anterior_Indústrias extrativas,Valor_corrente_Indústrias extrativas,Taxa de Crescimento_Indústrias extrativas,Valor_ano_anterior_Indústrias de Transformação,Valor_preço_anterior_Indústrias de Transformação,Valor_corrente_Indústrias de Transformação,Taxa de Crescimento_Indústrias de Transformação,"Valor_ano_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_preço_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_corrente_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Taxa de Crescimento_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Valor_ano_anterior_Construção,Valor_preço_anterior_Construção,Valor_corrente_Construção,Taxa de Crescimento_Construção
2012,436279.8393848996,443337.2720807825,489621.32428560045,0.016176389690234272,70076.88217067196,67601.91518557625,87973.70711771204,-0.03531788099630262,30242.180220631042,29994.122921289214,31065.300236731215,-0.008202361652901113,11489.784856708931,12306.789550418478,12209.379819728681,0.07110704890461839,23730.033213947554,25387.618340367073,27898.745265275804,0.06985178282200022
2013,489621.32428560045,494727.7968249421,534960.4458493188,0.010429432473743727,87973.70711771204,81459.18691090369,83948.5299068908,-0.07405076380482267,31065.300236731215,31798.717211677063,33268.58541236792,0.023608880949383737,12209.379819728681,12617.68282187907,11695.68153029762,0.03344174791668175,27898.745265275804,29514.931708688157,33834.57441434512,0.05793043479356541
2014,534960.4458493188,542767.3747303061,579338.8273526609,0.014593469370605128,83948.5299068908,87696.59897213787,88003.05678529349,0.044647226930645934,33268.58541236792,31755.104936813157,36558.97948072793,-0.04549278115660749,11695.68153029762,11783.67224391726,11268.753340290501,0.0075233506821899,33834.57441434512,33033.07198272923,35852.939482478236,-0.023688858083466102
2015,579338.8273526609,565996.0283527097,556399.2225614954,-0.02303108020728095,88003.05678529349,92149.38593741646,48917.127968884655,0.047115740107062765,36558.97948072793,32987.27827682185,38219.89927896744,-0.0976969613112122,11268.753340290501,11597.17431959599,12720.943894219246,0.029144393296039794,35852.939482478236,33004.318458292684,31420.662283210884,-0.07945292813655369
2016,556399.2225614954,534415.5629064112,542132.6208717079,-0.03951058657824491,48917.127968884655,51133.89992682407,15007.235779849656,0.04531688694703151,38219.89927896744,34662.12029525412,38995.020789044436,-0.09308708423706336,12720.943894219246,13062.855892508533,15593.67662415651,0.026877879592304588,31420.662283210884,26801.806889425457,29202.227435260837,-0.14700057408571676
2017,542132.6208717079,532198.3980356244,563487.4814884353,-0.018324340675368367,15007.235779849656,14866.883935295837,28174.400379580245,-0.00935227823516116,38995.020789044436,39894.367770837736,37926.37062755808,0.023063123537196972,15593.67662415651,16073.459230481152,14973.481024921792,0.03076776682552218,29202.227435260837,24880.525598215103,23637.409068800614,-0.14799219842481626
2018,563487.4814884353,569118.8571679527,630432.5744070676,0.009993790216318965,28174.400379580245,28890.81228290895,70237.85119803273,0.02542776043773176,37926.37062755808,38110.941642458834,40637.56231127423,0.004866561493934274,14973.481024921792,14913.741940059768,15861.952906249611,-0.003989659102154985,23637.409068800614,21934.188601733316,23221.218039801628,-0.07205614042172692
2019,630432.5744070676,633317.301356545,661054.2346463387,0.004575789809386777,70237.85119803273,80845.7488666484,86305.60985177648,0.15102822036379115,40637.56231127423,36761.8648504288,38599.50258918228,-0.09537229204740427,15861.952906249611,15684.559400281643,19062.33108308076,-0.011183585464944579,23221.218039801628,23699.937448738892,21814.420844210086,0.020615602855833304
2020,661054.2346463387,644150.5110667442,654129.7019392985,-0.025570857417830384,86305.60985177648,96599.71541107143,71072.21268745349,0.11927504570067149,38599.50258918228,37169.19776578726,44856.43707494885,-0.03705500660508165,19062.33108308076,18486.979945910192,19190.55735260532,-0.030182622191534336,21814.420844210086,19855.754038312753,22359.818605696113,-0.08978770602645625
2021,654129.7019392985,681745.4228880038,819846.1037637815,0.042217500393015195,71072.21268745349,73421.86818234825,183841.50330317658,0.03306011457990743,44856.43707494885,50178.633924674104,67773.83097622397,0.11864956730363141,19190.55735260532,19996.52357630874,19099.116227162904,0.04199806232277048,22359.818605696113,24323.63783124918,22028.98768906563,0.0878280481690843
